Title,Date,Source Type,Publication Title
The New Act at Exxon,3/8/2006,Historical Newspapers,Wall Street Journal
"OPEC Is Likely to Hold Output, Even as Some See a Price Drop",3/8/2006,Historical Newspapers,Wall Street Journal
Ahead Of the Tape,3/8/2006,Historical Newspapers,Wall Street Journal
Crude-Oil Futures Slide Again Amid a Crowd of Bearish Signs,3/8/2006,Historical Newspapers,Wall Street Journal
Some OPEC Members Worry Prices Will Fall,3/8/2006,Historical Newspapers,The Washington Post
Threats Rattle at Nuclear Meeting on Iran,3/9/2006,Historical Newspapers,New York Times
OPEC to Keep Output Near Maximum Levels,3/9/2006,Historical Newspapers,New York Times
THE MARKETS,3/9/2006,Historical Newspapers,New York Times
"Gold, Silver Futures Take Tumble",3/9/2006,Historical Newspapers,Wall Street Journal
Broad Stock Indexes Bounce Back But Nasdaq Posts 5th-Straight Decline,3/9/2006,Historical Newspapers,Wall Street Journal
"Parker Drilling, Core Labs Decline On Weaker Crude",3/9/2006,Historical Newspapers,Wall Street Journal
OPEC Will Keep Oil Output Steady As U.S. Stores Rise,3/9/2006,Historical Newspapers,Wall Street Journal
"Bond Yields, Oil Bring Mixed Close",3/9/2006,Historical Newspapers,The Washington Post
Jobs Data and Trade Deficit Curb Market's Early Gains,3/10/2006,Historical Newspapers,New York Times
Trade Deficit Reaches Another High,3/10/2006,Historical Newspapers,The Washington Post
"Labor, Deficit News Send Stocks Lower",3/10/2006,Historical Newspapers,The Washington Post
Nymex Gasoline Futures Leap As Flagging Contract Gets Boost,3/10/2006,Historical Newspapers,Wall Street Journal
WORLD WATCH,3/10/2006,Historical Newspapers,Wall Street Journal
The Future of Natural Gas Pricing Could Be a Trans-Atlantic Tug of War,3/11/2006,Historical Newspapers,New York Times
THE MARKETS,3/11/2006,Historical Newspapers,New York Times
"Stocks Gain on Jobs Data, Fall in Oil Prices",3/11/2006,Historical Newspapers,Wall Street Journal
Oil Tumbled 5.8% for the Week To $59.96 as Supply Fears Eased,3/11/2006,Historical Newspapers,Wall Street Journal
Wall Street Embraces Jobs Report,3/11/2006,Historical Newspapers,The Washington Post
The Mystic Artists: A Puget Sound Quest,3/12/2006,Historical Newspapers,New York Times
China's Environmental Watchdog Vows Tougher Enforcement of Rules,3/13/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,3/14/2006,Historical Newspapers,New York Times
Deals Don't Outweigh Rising Oil Prices,3/14/2006,Historical Newspapers,The Washington Post
Live-Cattle Prices End Mixed Amid Report of Mad-Cow Case,3/14/2006,Historical Newspapers,Wall Street Journal
Energy Firms Have Big Bets on LNG Imports,3/14/2006,Historical Newspapers,Wall Street Journal
Rising Yields And Oil Hold Stocks in Check,3/14/2006,Historical Newspapers,Wall Street Journal
Shares Near a 5-Year High As Goldman Leads Rally,3/15/2006,Historical Newspapers,New York Times
A Senate Panel Interrogates Wary Oil Executives,3/15/2006,Historical Newspapers,New York Times
Gasoline Futures Increase 7% As Worries About Supply Grow,3/15/2006,Historical Newspapers,Wall Street Journal
WORLD WATCH,3/15/2006,Historical Newspapers,Wall Street Journal
Big Oil Defends Industry Mergers in Hearing,3/15/2006,Historical Newspapers,The Washington Post
"Treasury Yields Fall, and Stocks Go Up",3/15/2006,Historical Newspapers,The Washington Post
THE MARKETS,3/16/2006,Historical Newspapers,New York Times
A Red-Hot Desire for Copper,3/16/2006,Historical Newspapers,Wall Street Journal
"Good Corporate, Economic Reports Boost the Dow Industrials Past 11200",3/16/2006,Historical Newspapers,Wall Street Journal
Venezuela Prepares Retroactive Tax Bill For Gas Production,3/16/2006,Historical Newspapers,Wall Street Journal
Economic Reports Drive S&amp;P Over 1300,3/16/2006,Historical Newspapers,The Washington Post
China Pays Dearly for Kazakhstan Oil,3/17/2006,Historical Newspapers,New York Times
Shares of Blue Chips Rise on News of Mild Inflation,3/17/2006,Historical Newspapers,New York Times
Russia Yields No Ground to G-8 Amid Calls to Ease Energy Access,3/17/2006,Historical Newspapers,Wall Street Journal
Crude-Oil Contracts Increase On Latest Military Action in Iraq,3/17/2006,Historical Newspapers,Wall Street Journal
"At G-8 Meeting, Russia Won't Relent on Oil",3/17/2006,Historical Newspapers,The Washington Post
"Dow, S&amp;P Continue Their Climbs",3/17/2006,Historical Newspapers,The Washington Post
Offer Made to Settle Ecuador Oil Dispute,3/18/2006,Historical Newspapers,New York Times
THE MARKETS,3/18/2006,Historical Newspapers,New York Times
"William Lyon Homes, Petco Rise As Indexes Reach Historic Highs",3/18/2006,Historical Newspapers,Wall Street Journal
Oil Prices Decline as Concerns About Supply Begin to Moderate,3/18/2006,Historical Newspapers,Wall Street Journal
Oil and Productivity Set a Positive Tone,3/18/2006,Historical Newspapers,The Washington Post
Prospect of bonanza extends the search for black gold,3/20/2006,Historical Newspapers,New York Times
Asian nations lead the charge for oil exploration and exploitation,3/20/2006,Historical Newspapers,New York Times
"Profit Taking Wins Out, and the Rally Takes a Pause",3/21/2006,Historical Newspapers,New York Times
Stocks End Mixed After 4-Day Rally,3/21/2006,Historical Newspapers,The Washington Post
Frontier Leads Airlines Higher,3/21/2006,Historical Newspapers,Wall Street Journal
Blue Chips Pull Back in Cautious Trading,3/21/2006,Historical Newspapers,Wall Street Journal
The Energy-Trading High Wire,3/21/2006,Historical Newspapers,Wall Street Journal
Heating-Oil Reserves Run High After Relatively Mild Winter,3/21/2006,Historical Newspapers,Wall Street Journal
Refiners Are Still Riding High,3/21/2006,Historical Newspapers,Wall Street Journal
"Crude Oil Falls as Inventories Rise, Traders Ignore New Nigeria Trouble",3/21/2006,Historical Newspapers,Wall Street Journal
Home Fuel Bills Show No Sign of Mild Winter,3/22/2006,Historical Newspapers,New York Times
"Orange Juice Hits 14 -Year High On Storm Forecast, Florida Study",3/22/2006,Historical Newspapers,Wall Street Journal
Investors Get Comfortable with Discomfort,3/22/2006,Historical Newspapers,Wall Street Journal
Options May Offer Slick Oil Play,3/22/2006,Historical Newspapers,Wall Street Journal
"Dow Nudges a Six -Year High, Loses Its Nerve",3/22/2006,Historical Newspapers,Wall Street Journal
Stocks Down on Conflicting Signs,3/22/2006,Historical Newspapers,The Washington Post
WORLD BUSINESS BRIEFING,3/23/2006,Historical Newspapers,New York Times
Nymex Value Soars Ahead of IPO In Busy Trading Among Members,3/23/2006,Historical Newspapers,Wall Street Journal
Stocks Climb As Rate Worries Are Shrugged Off,3/23/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,3/24/2006,Historical Newspapers,New York Times
Interest Rate Worries Stop Stocks' Rally,3/24/2006,Historical Newspapers,The Washington Post
Crude Oil Surges As Market Braces For Storm Season,3/24/2006,Historical Newspapers,Wall Street Journal
Google Finance: A Portal Play?,3/25/2006,Historical Newspapers,New York Times
Gains Are Slim in Week of Wariness on Fed's Next Move,3/25/2006,Historical Newspapers,New York Times
Gold Stages Rally In Move Chasing Silver's Advance,3/25/2006,Historical Newspapers,Wall Street Journal
Mideast Feels Stress of Stock Slide,3/27/2006,Historical Newspapers,Wall Street Journal
Fueling Up,3/27/2006,Historical Newspapers,Wall Street Journal
"China Raises Prices For Gasoline, Diesel",3/27/2006,Historical Newspapers,Wall Street Journal
Acon Builds a Success Story From the Ashes of Enron,3/27/2006,Historical Newspapers,The Washington Post
Amex to Launch ETF to Track Oil,3/28/2006,Historical Newspapers,Wall Street Journal
Oil Fight: CME to Launch Its Own Energy Futures,3/28/2006,Historical Newspapers,Wall Street Journal
Gasoline Prices Cling to Gains Amid Supply Fears,3/28/2006,Historical Newspapers,Wall Street Journal
Investors Wait for Fed's Decision,3/28/2006,Historical Newspapers,The Washington Post
G.A.O. Sees Loss in Oil Royalties of at Least $20 Billion,3/29/2006,Historical Newspapers,New York Times
"Old National, Dime Community Fall in Bank Sector",3/29/2006,Historical Newspapers,Wall Street Journal
Oil Jumps Above $66 a Barrel As Supply Jitters Spark Rally,3/29/2006,Historical Newspapers,Wall Street Journal
Stocks Fall After Fed Lifts Rates,3/29/2006,Historical Newspapers,Wall Street Journal
Fed Announcement Stifles Rally,3/29/2006,Historical Newspapers,The Washington Post
Bank Shares Lead Decline as Fed Raises Interest Rates,3/29/2006,Historical Newspapers,New York Times
WORLD BUSINESS BRIEFING,3/30/2006,Historical Newspapers,New York Times
THE MARKETS,3/30/2006,Historical Newspapers,New York Times
Wall Street Recovers From Fed News,3/30/2006,Historical Newspapers,The Washington Post
Fuel Standards Set for Auto Makers,3/30/2006,Historical Newspapers,Wall Street Journal
U.N. Security Council Drafts Statement on Iran,3/30/2006,Historical Newspapers,Wall Street Journal
Dow Industrials Rally 61 Points On Rate Rethink,3/30/2006,Historical Newspapers,Wall Street Journal
Panel Told Halting Tariff May Ease Gas Shortage,3/30/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,3/31/2006,Historical Newspapers,New York Times
What's News Online,3/31/2006,Historical Newspapers,Wall Street Journal
"Eldorado, Apollo Gold Rise on Dollar's Weakness",3/31/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/1/2006,Historical Newspapers,New York Times
A Tangle In Caracas For Exxon,4/1/2006,Historical Newspapers,New York Times
San Francisco: Designated Brewery,4/2/2006,Historical Newspapers,The Washington Post
Japan's Business Sentiment Slips As Competition Damps Optimism,4/3/2006,Historical Newspapers,Wall Street Journal
"Rallies in Silver, Gold May Be Tied To Debt Concerns",4/3/2006,Historical Newspapers,Wall Street Journal
Commodities Prices Go Their Separate Ways,4/3/2006,Historical Newspapers,Wall Street Journal
MARKET GAUGES,4/4/2006,Historical Newspapers,New York Times
THE MARKETS,4/4/2006,Historical Newspapers,New York Times
Copper Buyers Return to Market,4/4/2006,Historical Newspapers,Wall Street Journal
"Venezuela Seizes Total, ENI Oil Fields",4/4/2006,Historical Newspapers,Wall Street Journal
Gas Prices Up Sharply Ahead of Peak Season,4/4/2006,Historical Newspapers,The Washington Post
Gas Prices Up Sharply Ahead of Peak Season,4/4/2006,Historical Newspapers,The Washington Post
Venezuela Assumes Control of Oil Fields,4/4/2006,Historical Newspapers,The Washington Post
Investors Sell After Early Gains,4/4/2006,Historical Newspapers,The Washington Post
India Stocks Hit Another High,4/5/2006,Historical Newspapers,Wall Street Journal
Commodity Index Expands Amid Rising Interest,4/5/2006,Historical Newspapers,Wall Street Journal
Stocks Rise on Merger Outlook,4/5/2006,Historical Newspapers,The Washington Post
Apple Helps Push Nasdaq And S.&P. to 5-Year Highs,4/6/2006,Historical Newspapers,New York Times
"Nasdaq, S&amp;P 500 Hit Five-Year Highs",4/6/2006,Historical Newspapers,The Washington Post
Oil Prices Rise as Gasoline Inventories Decline,4/6/2006,Historical Newspapers,Wall Street Journal
Upbeat Rate Talk Extends Stock Gains As Industrials Near a Six-Year High,4/6/2006,Historical Newspapers,Wall Street Journal
Oil Keeps Chàvez Fighting,4/6/2006,Historical Newspapers,Wall Street Journal
BP Faces Federal Criminal Probe of Alaskan Pipelines,4/6/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/7/2006,Historical Newspapers,New York Times
The Golden Run: Rally Near $600 Reflects Tensions,4/7/2006,Historical Newspapers,Wall Street Journal
"For Mutual Funds, Commodities Boom Proves Surprisingly Hard to Exploit",4/7/2006,Historical Newspapers,Wall Street Journal
"Gold Tests $600, Economic Zest Pushes Up Rates",4/7/2006,Historical Newspapers,Wall Street Journal
"Lyondell, Citgo to Put Refinery In Houston on Auction Block",4/7/2006,Historical Newspapers,Wall Street Journal
Rising Commodities Worry Investors,4/7/2006,Historical Newspapers,The Washington Post
Now in the Rearview Mirror: Low Gasoline Prices,4/8/2006,Historical Newspapers,New York Times
THE MARKETS,4/8/2006,Historical Newspapers,New York Times
Taming That Tiger in Your Tank,4/8/2006,Historical Newspapers,Wall Street Journal
Gold Prices Retreat From $600 Level,4/8/2006,Historical Newspapers,Wall Street Journal
Stocks Fall on Employment Figures,4/8/2006,Historical Newspapers,The Washington Post
France May Think Again,4/9/2006,Historical Newspapers,The Washington Post
Oil Prices Show No Sigh of Slowing,4/10/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/11/2006,Historical Newspapers,New York Times
Oil Prices' Gain Holds Down Stocks,4/11/2006,Historical Newspapers,The Washington Post
"Alcoa, Disney Lift Blue Chips As Earnings Season Kicks Off",4/11/2006,Historical Newspapers,Wall Street Journal
"Zale Falls as SEC Opens Inquiry; Corautus, Topps, Momenta Decline",4/11/2006,Historical Newspapers,Wall Street Journal
"Italy, Peru Votes Buoy Shares",4/11/2006,Historical Newspapers,Wall Street Journal
"Blue Chips Rally on Profit Outlooks, But Technology Stocks Extend Decline",4/11/2006,Historical Newspapers,Wall Street Journal
Rush of Investors To Commodities Fuels Gold Rally,4/11/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/12/2006,Historical Newspapers,New York Times
London Market Plans Steel Futures,4/12/2006,Historical Newspapers,Wall Street Journal
"Markets Lose Steam as Investors Fret Over Commodities, Treasury Yields",4/12/2006,Historical Newspapers,Wall Street Journal
Price Gains Are Modest; Yields Edge Downward,4/12/2006,Historical Newspapers,Wall Street Journal
Gas Prices to Jump This Summer,4/12/2006,Historical Newspapers,Wall Street Journal
11% Rise in Gas Prices Expected,4/12/2006,Historical Newspapers,The Washington Post
THE MARKETS,4/13/2006,Historical Newspapers,New York Times
U.S. Trade Deficit Narrowed in February,4/13/2006,Historical Newspapers,New York Times
"Earnings, Deficit News Give Stocks a Lift",4/13/2006,Historical Newspapers,The Washington Post
Ethanol Shifts Share Prices Into Overdrive,4/13/2006,Historical Newspapers,Wall Street Journal
"China's Oil Demand To Slow to '06 Growth Of 5.5%, IEA Predicts",4/13/2006,Historical Newspapers,Wall Street Journal
Reliance Name Lures Investors,4/13/2006,Historical Newspapers,Wall Street Journal
Trade Deficit With China Eases; Overall Gap Is on Record Pace,4/13/2006,Historical Newspapers,Wall Street Journal
Nymex Hopes Regulator Slows Rival,4/13/2006,Historical Newspapers,Wall Street Journal
Stocks Rebound On High Hopes For Solid Profits,4/13/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/14/2006,Historical Newspapers,New York Times
"Speculative Buying, Inventories Power Copper-Futures Rally",4/14/2006,Historical Newspapers,Wall Street Journal
"Treasury Yield Passes 5% Mark, Tempering Stocks",4/14/2006,Historical Newspapers,Wall Street Journal
"Economy Meanders, but Gas Prices Stick to Trend",4/15/2006,Historical Newspapers,New York Times
Iraqi Bust Nets Ring Smuggling Oil to Syria,4/15/2006,Historical Newspapers,The Washington Post
"As China, U.S. Vie for More Oil, Diplomatic Friction May Follow",4/15/2006,Historical Newspapers,The Washington Post
Iraqi Bust Nets Ring Smuggling Oil to Syria,4/15/2006,Historical Newspapers,The Washington Post
Going For the Gold,4/15/2006,Historical Newspapers,Wall Street Journal
Korea Index Soars to Record on Samsung Move,4/15/2006,Historical Newspapers,Wall Street Journal
Market Stalls as Interest Rates Climb,4/16/2006,Historical Newspapers,The Washington Post
The Other Alternative,4/17/2006,Historical Newspapers,Wall Street Journal
Oil ETF's Boost To Crude Futures Runs Out of Gas,4/17/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/18/2006,Historical Newspapers,New York Times
Chemical Companies Look To Coal as an Oil Substitute,4/18/2006,Historical Newspapers,New York Times
Benchmark Unsought: Oil Over $70,4/18/2006,Historical Newspapers,New York Times
Tensions Mount Over Fuel Charges Set by Railroads,4/18/2006,Historical Newspapers,Wall Street Journal
"Gold Leaps Past $600 on Worry About Iran, Weakness of Dollar",4/18/2006,Historical Newspapers,Wall Street Journal
"Hydrogenics, Quantum Advance; Air Tran, Frontier Airlines Slide",4/18/2006,Historical Newspapers,Wall Street Journal
Stocks Slide as Oil Closes Above $70; Gold Tops $600 on Concern Over Iran,4/18/2006,Historical Newspapers,Wall Street Journal
"Intel, Home Depot Lead a Down Day",4/18/2006,Historical Newspapers,Wall Street Journal
Investors Push Oil Over $70 A Barrel,4/18/2006,Historical Newspapers,The Washington Post
"Stocks Sent Lower by Gold, Energy Prices",4/18/2006,Historical Newspapers,The Washington Post
THE MARKETS,4/19/2006,Historical Newspapers,New York Times
Fed Signals Policy Shift On Rates,4/19/2006,Historical Newspapers,New York Times
Energy Sector Still Shows Power,4/19/2006,Historical Newspapers,Wall Street Journal
Apache to Buy Certain BP Assets In Gulf of Mexico,4/19/2006,Historical Newspapers,Wall Street Journal
"Oil Price Reaches $71.85 a Barrel On Worry Over Iran, Gas Supplies",4/19/2006,Historical Newspapers,Wall Street Journal
Stocks Rally as Rate Relief May Be in Sight,4/19/2006,Historical Newspapers,Wall Street Journal
Stocks Surge on Release of Fed Minutes,4/19/2006,Historical Newspapers,The Washington Post
Big Tires In Short Supply,4/20/2006,Historical Newspapers,New York Times
Worries About Inflation Are Soothed by Earnings,4/20/2006,Historical Newspapers,New York Times
"Stocks Continue Rally, but More Modestly",4/20/2006,Historical Newspapers,The Washington Post
BP PLC,4/20/2006,Historical Newspapers,Wall Street Journal
Crude Price Climbs Above $72 As Natural Gas Continues Rise,4/20/2006,Historical Newspapers,Wall Street Journal
"Stocks Edge Higher, Building on Rally Despite Rising Prices in Oil and Gold",4/20/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/21/2006,Historical Newspapers,New York Times
Ecuador Approves Tweaks to Oil Law To Boost State Share,4/21/2006,Historical Newspapers,Wall Street Journal
Oil Futures Settle a Bit Lower As Investors Cash In on Profits,4/21/2006,Historical Newspapers,Wall Street Journal
"As Emerging-Market Bonds Ride An Oil Tide, Treasurys Sink Some",4/21/2006,Historical Newspapers,Wall Street Journal
"Dow Reaches A Six-Year High, Helped by GM",4/21/2006,Historical Newspapers,Wall Street Journal
The Battle Over the Blame for Gas Prices,4/21/2006,Historical Newspapers,The Washington Post
The Battle Over the Blame for Gas Prices,4/21/2006,Historical Newspapers,The Washington Post
"A Wild Week for Oil, Which Passes $75",4/22/2006,Historical Newspapers,New York Times
Gas Shortages Could Pose Problem for Drivers on East Coast,4/22/2006,Historical Newspapers,New York Times
Leaders Question Gasoline Prices,4/22/2006,Historical Newspapers,The Washington Post
Rise in Oil Prices Heightens Inflation Fears,4/22/2006,Historical Newspapers,The Washington Post
"Bush, Schwarzenegger Share a Stage",4/22/2006,Historical Newspapers,The Washington Post
"Bush, Schwarzenegger Share a Stage",4/22/2006,Historical Newspapers,The Washington Post
"At 3M, Net Rose 17% in Quarter, But Costs Might Force Divestitures",4/22/2006,Historical Newspapers,Wall Street Journal
"Strong Week for Stocks, Bulls Want More",4/22/2006,Historical Newspapers,Wall Street Journal
Several Asian Markets Rally; Korea Hits a Record,4/22/2006,Historical Newspapers,Wall Street Journal
Crude Prices Continue Upward March,4/22/2006,Historical Newspapers,Wall Street Journal
"Hutchinson and Metrologic Sink; Sierra Wireless, MRO Post Gains",4/22/2006,Historical Newspapers,Wall Street Journal
Where 'Petroleum Is Almost History',4/23/2006,Historical Newspapers,The Washington Post
Alberta Worker Shortage Hampers Plans to Increase Oil- Sands Output,4/24/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/25/2006,Historical Newspapers,New York Times
"Oil Futures Fall From Highs Despite Supply, Iran Worries",4/25/2006,Historical Newspapers,Wall Street Journal
Stocks Slip; Energy Traders Take Profits,4/25/2006,Historical Newspapers,The Washington Post
Africa Emerges as Strategic Battleground,4/25/2006,Historical Newspapers,Wall Street Journal
Stocks Retreat Slightly as the Dollar Continues Pullback on Yen and Euro,4/25/2006,Historical Newspapers,Wall Street Journal
Plains Exploration Agrees to Buy Stone Energy for $1.35 Billion,4/25/2006,Historical Newspapers,Wall Street Journal
Fuel-Cell Options Heat Up Again,4/25/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/26/2006,Historical Newspapers,New York Times
GOP Blocks Measures Boosting Taxes on Oil Companies' Profits,4/26/2006,Historical Newspapers,The Washington Post
Using Tough Tactics to Divulge an Industry's Secrets,4/26/2006,Historical Newspapers,The Washington Post
GOP Blocks Measures Boosting Taxes on Oil Companies' Profits,4/26/2006,Historical Newspapers,The Washington Post
Iran Raises Stakes in Nuclear Dispute,4/26/2006,Historical Newspapers,The Washington Post
Iran Raises Stakes in Nuclear Dispute,4/26/2006,Historical Newspapers,The Washington Post
Iran Raises Stakes in Nuclear Dispute,4/26/2006,Historical Newspapers,The Washington Post
GOP Blocks Measures Boosting Taxes on Oil Companies' Profits,4/26/2006,Historical Newspapers,The Washington Post
Strong Indicators Bring More Rate Fears,4/26/2006,Historical Newspapers,The Washington Post
Bush Takes Steps to Expand Oil Supplies,4/26/2006,Historical Newspapers,Wall Street Journal
"Cnooc's Revenue Rises 45%, Helped By High Oil Prices",4/26/2006,Historical Newspapers,Wall Street Journal
Heard This Before? Copper Hits Record High,4/26/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,4/27/2006,Historical Newspapers,New York Times
"For Sinopec, the Crude Costs",4/27/2006,Historical Newspapers,Wall Street Journal
Dow Reaches A Six-Year High But Bonds Fall,4/27/2006,Historical Newspapers,Wall Street Journal
Gold Asserts Role As Investor Haven From Global Woes,4/27/2006,Historical Newspapers,Wall Street Journal
Traders Warm to an Energy ETF,4/27/2006,Historical Newspapers,Wall Street Journal
"GM, Economic Data Lift Stocks",4/27/2006,Historical Newspapers,The Washington Post
Exxon Reports 7% Increase In Earnings; Shares Fall,4/28/2006,Historical Newspapers,New York Times
Gas Pump Geopolitics,4/28/2006,Historical Newspapers,New York Times
"Profits, Prices Spur Oil Outrage",4/28/2006,Historical Newspapers,The Washington Post
"As Gas Nears $7 a Gallon, More Britons Take the Bus",4/28/2006,Historical Newspapers,The Washington Post
Say It With Me: Supply and Demand,4/28/2006,Historical Newspapers,The Washington Post
"As Gas Nears $7 a Gallon, More Britons Take the Bus",4/28/2006,Historical Newspapers,The Washington Post
"As Gas Nears $7 a Gallon, More Britons Take the Bus",4/28/2006,Historical Newspapers,The Washington Post
"Profits, Prices Spur Oil Outrage",4/28/2006,Historical Newspapers,The Washington Post
Say It With Me: Supply and Demand,4/28/2006,Historical Newspapers,The Washington Post
Investors Embrace Bernanke's Remarks,4/28/2006,Historical Newspapers,The Washington Post
Say It With Me: Supply and Demand,4/28/2006,Historical Newspapers,The Washington Post
Exxon's $8.4 Billion Net Faces Fire on All Fronts,4/28/2006,Historical Newspapers,Wall Street Journal
"In Europe, Shares Fall After China Raises Its Rates",4/28/2006,Historical Newspapers,Wall Street Journal
Oil Prices Don't Get This Economy Down,4/29/2006,Historical Newspapers,New York Times
Microsoft Forecast Disappoints Markets,4/29/2006,Historical Newspapers,New York Times
Market News,4/29/2006,Historical Newspapers,Wall Street Journal
Microsoft Woes Hurt Dow,4/29/2006,Historical Newspapers,Wall Street Journal
Soaring Gas Prices Hit Washington,4/29/2006,Historical Newspapers,Wall Street Journal
Traders Keep Premium on Oil Following Awaited Iran Report,4/29/2006,Historical Newspapers,Wall Street Journal
"Iran Fails to Meet Nuclear Demands, U.N. Says",4/29/2006,Historical Newspapers,Wall Street Journal
Constellation's Profit Falls As Revenue Rises Sharply,4/29/2006,Historical Newspapers,The Washington Post
30-Year Rates Rise to 6.58%,4/29/2006,Historical Newspapers,The Washington Post
Stocks End Erratic Week Relatively Flat,4/29/2006,Historical Newspapers,The Washington Post
GOP Caught Over a Barrel,4/30/2006,Historical Newspapers,The Washington Post
Sugar Growers Get Interested In Ethanol Path for Their Cane,5/1/2006,Historical Newspapers,Wall Street Journal
Mr. Rice's Wild (but Energizing) Ride,5/1/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,5/2/2006,Historical Newspapers,New York Times
"Aviall and Alon USA Surge, but American Axle Falls",5/2/2006,Historical Newspapers,Wall Street Journal
Car Industry Brings Back Incentives,5/2/2006,Historical Newspapers,Wall Street Journal
Italian Refinery Further Props Rising Oil Futures Contracts,5/2/2006,Historical Newspapers,Wall Street Journal
"Stocks Fall on Report Fed Chief Meant Rate Increases May Pause, Not End",5/2/2006,Historical Newspapers,Wall Street Journal
Tax Plan for Oil Firms Withdrawn in Senate,5/2/2006,Historical Newspapers,The Washington Post
"Investors Misunderstood Bernanke Testimony, CNBC Anchor Says",5/2/2006,Historical Newspapers,The Washington Post
Sympathy as Hard to Find as Oil,5/3/2006,Historical Newspapers,New York Times
THE MARKETS,5/3/2006,Historical Newspapers,New York Times
"In Washington, Bonhomie for Saudi Oil Minister",5/3/2006,Historical Newspapers,New York Times
How We Got to $3 a Gallon,5/3/2006,Historical Newspapers,The Washington Post
"As C-Note Falls Flat, GOP Looks for Plan B on Gas",5/3/2006,Historical Newspapers,The Washington Post
How We Got to $3 a Gallon,5/3/2006,Historical Newspapers,The Washington Post
Dow Hits 6-Year High Despite Oil Prices,5/3/2006,Historical Newspapers,The Washington Post
"As C-Note Falls Flat, GOP Looks for Plan B on Gas",5/3/2006,Historical Newspapers,The Washington Post
"As C-Note Falls Flat, GOP Looks for Plan B on Gas",5/3/2006,Historical Newspapers,The Washington Post
How We Got to $3 a Gallon,5/3/2006,Historical Newspapers,The Washington Post
Visteon and Alaska Air Advance; Brookfield Homes and EFJ Drop,5/3/2006,Historical Newspapers,Wall Street Journal
"GM, Boeing, Exxon Lift Dow; Microsoft, Hovnanian Decline",5/3/2006,Historical Newspapers,Wall Street Journal
Oil Verges on $75 As Iran Standoff Stokes Concerns,5/3/2006,Historical Newspapers,Wall Street Journal
"Stocks Rebound On Solid Profits, Fresh Optimism",5/3/2006,Historical Newspapers,Wall Street Journal
16 Police Recruits Killed in Iraq; 34 Other Bodies Found,5/4/2006,Historical Newspapers,New York Times
WASHINGTON,5/4/2006,Historical Newspapers,New York Times
Oil Declines After Report Delivers Surprise Rise in Gasoline Inventory,5/4/2006,Historical Newspapers,Wall Street Journal
Oil Decline Stirs ETF Options,5/4/2006,Historical Newspapers,Wall Street Journal
"House Backs Bills on Gas Gouging, Refinery Permits",5/4/2006,Historical Newspapers,Wall Street Journal
"Stocks Take a Pause on Weak Profits, While Oil Futures Pull Back, Near $72",5/4/2006,Historical Newspapers,Wall Street Journal
"Service, Factory Data Feed Inflation Fears",5/4/2006,Historical Newspapers,The Washington Post
"As Energy Prices Rise, It's All Downhill for Democracy",5/5/2006,Historical Newspapers,New York Times
What Condi Whispered About Don,5/5/2006,Historical Newspapers,The Washington Post
Wall Street Happy to See Retail Numbers,5/5/2006,Historical Newspapers,The Washington Post
What Condi Whispered About Don,5/5/2006,Historical Newspapers,The Washington Post
What Condi Whispered About Don,5/5/2006,Historical Newspapers,The Washington Post
Oil and Gas Operations Pace 10% Rise in Earnings,5/5/2006,Historical Newspapers,Wall Street Journal
Oil Retreats Below $70 a Barrel As Worries Wane Over Supplies,5/5/2006,Historical Newspapers,Wall Street Journal
South American Leaders Defuse Some Tension Over Bolivian Gas,5/5/2006,Historical Newspapers,Wall Street Journal
Dow Industrials Hit 6-Year High As Crude Slumps,5/5/2006,Historical Newspapers,Wall Street Journal
New Recipe For Gasoline Helped Drive Up the Price,5/6/2006,Historical Newspapers,New York Times
THE MARKETS,5/6/2006,Historical Newspapers,New York Times
Exchanges Discuss New Products; VIX Drops 2%,5/6/2006,Historical Newspapers,Wall Street Journal
Prices for U.S. Wheat Futures Rise on Bullish Crop Estimates,5/6/2006,Historical Newspapers,Wall Street Journal
Job Report Sends Dow to 6-Year High,5/6/2006,Historical Newspapers,The Washington Post
Hamburg Journal,5/7/2006,Historical Newspapers,New York Times
THE WORLD,5/7/2006,Historical Newspapers,New York Times
For the Record,5/7/2006,Historical Newspapers,The Washington Post
"For Sound Energy Policy, Don't Look to Congress",5/7/2006,Historical Newspapers,The Washington Post
For the Record,5/7/2006,Historical Newspapers,The Washington Post
Oil Costs Fuel Crop-Market Changes,5/8/2006,Historical Newspapers,Wall Street Journal
THE MARKETS,5/9/2006,Historical Newspapers,New York Times
Dow Inches Closer to Ail-Time High,5/9/2006,Historical Newspapers,The Washington Post
